tiene_catalogo,tiene_web,tipologia,titularidad,gestion,antiguedad_biblioteca,anio_fundacion_missing,bibliotecas_municipio,poblacion_municipio,densidad_hab_km2,tiene_poblacion_externa
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,1,1,,,0
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,44.0,0,1,,,0
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,21.0,0,1,,,0
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,69.0,0,1,,,0
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,93.0,0,1,,,0
0,0,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,1,1,,,0
0,0,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,48.0,0,1,,,0
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos | Gestión compartida: Administración Local - Diputaciones provinciales,34.0,0,9,230642.0,10889.6,1
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,11.0,0,9,230642.0,10889.6,1
1,1,Bibliotecas de instituciones de enseñanza superior - Universitaria,Universitaria - Pública,Universitaria - Pública,,1,9,230642.0,10889.6,1
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,24.0,0,9,230642.0,10889.6,1
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,32.0,0,9,230642.0,10889.6,1
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,39.0,0,9,230642.0,10889.6,1
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,31.0,0,9,230642.0,10889.6,1
0,1,Bibliotecas especializadas - De centros sanitarios - De hospitales,Privada - Otras instituciones,Privada - Otras instituciones,,1,9,230642.0,10889.6,1
0,1,Bibliotecas especializadas - De la Administración - De otros organismos públicos,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,1,9,230642.0,10889.6,1
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,1,1,,,0
1,1,Bibliotecas especializadas - De la Administración - De otros organismos públicos,Administración Autonómica - Consejerías y Departamentos,Administración Autonómica - Consejerías y Departamentos,43.0,0,1,,,0
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,34.0,0,1,,,0
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,1,1,34031.0,4095.2,1
1,1,Bibliotecas de instituciones de enseñanza superior - Universitaria,Universitaria - Pública,Universitaria - Pública,36.0,0,214,1713247.0,16904.3,1
1,1,Bibliotecas de instituciones de enseñanza superior - Universitaria,Universitaria - Privada,Universitaria - Privada,34.0,0,214,1713247.0,16904.3,1
1,1,Bibliotecas de instituciones de enseñanza superior - Universitaria,Universitaria - Privada,Universitaria - Privada,,1,214,1713247.0,16904.3,1
1,1,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,19.0,0,214,1713247.0,16904.3,1
1,1,Bibliotecas de instituciones de enseñanza superior - Universitaria,Universitaria - Pública,Universitaria - Pública,36.0,0,214,1713247.0,16904.3,1
1,1,Bibliotecas especializadas - De Archivos,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,1,214,1713247.0,16904.3,1
0,0,Bibliotecas especializadas - De Archivos,Administración Local - Diputaciones provinciales,Administración Local - Diputaciones provinciales,,1,214,1713247.0,16904.3,1
1,1,"Bibliotecas especializadas - De instituciones religiosas - De la Iglesia Católica (Diocesanas, Episcopales y Catedralicias)",Privada - Instituciones religiosas,Privada - Instituciones religiosas,,1,214,1713247.0,16904.3,1
0,1,Bibliotecas especializadas - De la Administración - De otros organismos públicos,Administración Autonómica - Consejerías y Departamentos,Administración Autonómica - Consejerías y Departamentos,25.0,0,214,1713247.0,16904.3,1
0,1,Bibliotecas especializadas - Otras bibliotecas especializadas,Privada - Otras instituciones,Privada - Otras instituciones,78.0,0,214,1713247.0,16904.3,1
0,0,Bibliotecas especializadas - Otras bibliotecas especializadas,Privada - Otras instituciones,Privada - Otras instituciones,,1,214,1713247.0,16904.3,1
0,1,Bibliotecas especializadas - De asociaciones,Privada - Otras instituciones,Privada - Otras instituciones,82.0,0,214,1713247.0,16904.3,1
1,0,Bibliotecas especializadas - De la Administración - De otros organismos públicos,"Poder Judicial - Tribunales, Audiencias y Juzgados",Administración Autonómica - Consejerías y Departamentos,17.0,0,214,1713247.0,16904.3,1
0,1,Bibliotecas especializadas - De centros de investigación - De Reales Academias,"Administración General del Estado - Ministerio de Ciencia, Innovación y Universidades","Administración General del Estado - Ministerio de Ciencia, Innovación y Universidades",,1,214,1713247.0,16904.3,1
