nombre,direccion,codigo_postal,municipio,provincia,comunidad_autonoma,pais,pagina_web,acceso_catalogo,tipologia,titularidad,gestion,anio_fundacion,fecha_alta_directorio,integrada_en,url_ficha
Biblioteca Josep Roca i Bros,"c/ Federico García Lorca, 17, Casa de Cultura",08630,Abrera,Barcelona,Cataluña,España,https://www.biblioabrera.cat/,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3208&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=1
Biblioteca de les Escoles Velles,"c/ Salvador Dachs, 6",08591,Aiguafreda,Barcelona,Cataluña,España,https://bibliotecavirtual.diba.cat/aiguafreda-biblioteca-lluis-millet-i-pages,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,1982,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3213&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=1
Biblioteca Ferrer i Guàrdia,"c/ Hort de la Rectoria, s/n",08328,Alella,Barcelona,Cataluña,España,https://bibliotecavirtual.diba.cat/alella-biblioteca-ferrer-i-guardia,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,2005,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3209&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=1
Biblioteca Pare Fidel Fita,"c/ Bonaire, 2, Can Juncosa",08350,Arenys de Mar,Barcelona,Cataluña,España,https://arenysdemar.cat/biblioteca,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,1957,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3210&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=1
Biblioteca Antònia Torrent i Martori,"c/ Rial Bellsolell, 5",08358,Arenys de Munt,Barcelona,Cataluña,España,https://bibliotecavirtual.diba.cat/es/arenys-de-munt-biblioteca-antonia-torrent-i-martori,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,1933,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3349&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=1
Biblioteca de Artés,"c/ de les Parres, 44",08271,Artés,Barcelona,Cataluña,España,,,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3224&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=1
Biblioteca de Avinyó,"Passeig, 19",08279,Avinyó,Barcelona,Cataluña,España,,,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,1978,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=3212&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=1
Biblioteca Can Casacuberta,"c/ Mossèn Anton Romeu, 48",08912,Badalona,Barcelona,Cataluña,España,https://badabiblios.cat/,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos | Gestión compartida: Administración Local - Diputaciones provinciales,1992,01/01/2007,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=6506&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=1
Biblioteca Canyadó i Casagemes - Joan Argenté,"c/ Jacinto Benavente, 3",08911,Badalona,Barcelona,Cataluña,España,https://www.badalona.cat/equipaments/biblioteca-canyado-i-casagemes-joan-argente,http://aladi.diba.cat/,Bibliotecas Públicas,Administración Local - Ayuntamientos,Administración Local - Ayuntamientos,2015,31/08/2016,,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=12830&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=1
Biblioteca de la Universidad Autónoma de Barcelona - Biblioteca de Medicina Hospital Universitario Germans Trias y Pujol,"Ctra. del Canyet, s/n, Hospital Universitario Germans Trias i Pujol, Edificio General, 2ª planta",08916,Badalona,Barcelona,Cataluña,España,https://www.uab.cat/web/biblioteca-hospital-universitario-germans-trias-pujol-1345733233403.html,https://secure-web.cisco.com/1Y37lpaokWP_n6S38eIPXaUxb7irfiC9qag2lrt8Qaz2HgtCIIt7kxo4YzLJwMucXQVQ0lWTb83XHThPtpIDoOaUg8EMoj2IJR68Z-5Y--OxSKykmVPUQtsULZSL08u-heAuKqbM1E7iiX3lh0RxZSJIrePHEDcNqGAJvK7ei4GPwHEIanb2vANe9cZLiiSV99jHZrBKew4pXsbsTBnzFOsg1kyGP7ENOGWODGuVxh68Mud2cbjUQxFDJOYWiqnmWz6GpkxcrI91G_Gt6J_U2oT0yNF_qAWZjNFvR1PsqgDLsDD-R1PvGpS_GZaUqnJ6GOWqDjZWJ4e6ewndX9dcW2A/https%3A%2F%2Fbibcercador.uab.cat%2Fdiscovery%2Fsearch%3Fvid%3D34CSUC_UAB%3AVU1,Bibliotecas de instituciones de enseñanza superior - Universitaria,Universitaria - Pública,Universitaria - Pública,,01/01/2007,Biblioteca de la Universidad Autónoma de Barcelona,https://directoriobibliotecas.mcu.es/dimbe.cmd?apartado=buscador&accion=detalle_biblioteca&ps=9071&accionVolver=enviarAvanzado&busquedaGeneral=&agrupado=&agrupado2=&agrupado3=&codigo=09&codigo2=&codigo3=&codigoccaa=09&codigoprov=08&codigomun=&codigotipo=&codigotitularidad=&codigogestion=&codigotipo2=&codigotipo3=&codigotitularidad2=&codigogestion2=&total_registros=519&order=asc&orden=&codigonombre=&codigodireccion=&codigodistrito=&codigopais=&codigoentidadmenor=&codigoanofundacion=&codigocapitales=&filtro=&codigosigno=&codigonbibliotecas=&codigotramo=&codigoestado=&codigoisla=&registros=25&numero_pagina=1
