municipio_idescat,poblacion_municipio,superficie_km2,densidad_hab_km2,rango_poblacion_cat,anio_poblacion,fuente_poblacion
Barcelona,1713247,101.4,16904.3,1,2025,"Idescat, Censo de población anual del INE"
"Hospitalet de Llobregat, l'",292161,12.4,23561.4,2,2025,"Idescat, Censo de población anual del INE"
Terrassa,232676,70.2,3316.4,3,2025,"Idescat, Censo de población anual del INE"
Badalona,230642,21.2,10889.6,4,2025,"Idescat, Censo de población anual del INE"
Sabadell,224589,37.8,5943.1,5,2025,"Idescat, Censo de población anual del INE"
Lleida,147369,212.3,694.2,6,2025,"Idescat, Censo de población anual del INE"
Tarragona,143260,57.9,2474.7,7,2025,"Idescat, Censo de población anual del INE"
Mataró,131370,22.5,5830.9,8,2025,"Idescat, Censo de población anual del INE"
Santa Coloma de Gramenet,123250,7.0,17607.1,9,2025,"Idescat, Censo de población anual del INE"
Reus,111911,52.8,2118.7,10,2025,"Idescat, Censo de población anual del INE"
Girona,108352,39.1,2769.7,11,2025,"Idescat, Censo de población anual del INE"
Sant Cugat del Vallès,97959,48.2,2031.1,12,2025,"Idescat, Censo de población anual del INE"
Cornellà de Llobregat,92255,7.0,13198.1,13,2025,"Idescat, Censo de población anual del INE"
Sant Boi de Llobregat,85317,21.5,3973.8,14,2025,"Idescat, Censo de población anual del INE"
Rubí,82825,32.3,2564.2,15,2025,"Idescat, Censo de población anual del INE"
Manresa,80692,41.6,1937.8,16,2025,"Idescat, Censo de población anual del INE"
Vilanova i la Geltrú,71305,34.0,2097.8,17,2025,"Idescat, Censo de población anual del INE"
Castelldefels,69689,12.9,5414.8,18,2025,"Idescat, Censo de población anual del INE"
Viladecans,67536,20.4,3310.6,19,2025,"Idescat, Censo de población anual del INE"
"Prat de Llobregat, el",66251,31.4,2109.2,20,2025,"Idescat, Censo de población anual del INE"
Granollers,65123,14.9,4379.5,21,2025,"Idescat, Censo de población anual del INE"
Cerdanyola del Vallès,58264,30.6,1906.5,22,2025,"Idescat, Censo de población anual del INE"
Mollet del Vallès,52759,10.8,4898.7,23,2025,"Idescat, Censo de población anual del INE"
Vic,50405,30.6,1648.3,24,2025,"Idescat, Censo de población anual del INE"
Figueres,49556,19.3,2567.7,25,2025,"Idescat, Censo de población anual del INE"
Esplugues de Llobregat,48424,4.6,10527.0,26,2025,"Idescat, Censo de población anual del INE"
